Player,Pos.,Team,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
Dak Prescott,QB,Cowboys,"$240,000,000","$60,000,000","$129,000,000","$32,250,000",53.80%
Jordan Love,QB,Packers,"$220,000,000","$55,000,000","$100,800,000","$25,200,000",45.80%
Joe Burrow,QB,Bengals,"$275,000,000","$55,000,000","$146,510,000","$29,302,000",53.30%
Josh Allen,QB,Bills,"$330,000,000","$55,000,000","$147,000,000","$24,500,000",44.50%
Trevor Lawrence,QB,Jaguars,"$275,000,000","$55,000,000","$142,000,000","$28,400,000",51.60%
Tua Tagovailoa,QB,Dolphins,"$212,400,000","$53,100,000","$93,171,000","$23,292,750",43.90%
Brock Purdy,QB,49ers,"$265,000,000","$53,000,000","$100,000,000","$20,000,000",37.70%
Jared Goff,QB,Lions,"$212,000,000","$53,000,000","$113,611,832","$28,402,958",53.60%
Justin Herbert,QB,Chargers,"$262,500,000","$52,500,000","$133,738,375","$26,747,675",50.90%
Lamar Jackson,QB,Ravens,"$260,000,000","$52,000,000","$135,000,000","$27,000,000",51.90%
Jalen Hurts,QB,Eagles,"$255,000,000","$51,000,000","$110,000,000","$22,000,000",43.10%
Kyler Murray,QB,Cardinals,"$230,500,000","$46,100,000","$103,300,000","$20,660,000",44.80%
Deshaun Watson,QB,Browns,"$230,000,000","$46,000,000","$230,000,000","$46,000,000",100.00%
Kirk Cousins,QB,Falcons,"$180,000,000","$45,000,000","$90,000,000","$22,500,000",50.00%
Patrick Mahomes,QB,Chiefs,"$450,000,000","$45,000,000","$63,081,905","$6,308,191",14.00%
Ja'Marr Chase,WR,Bengals,"$161,000,000","$40,250,000","$73,900,000","$18,475,000",45.90%
Matt Stafford,QB,Rams,"$80,000,000","$40,000,000","$40,000,000","$20,000,000",50.00%
Geno Smith,QB,Raiders,"$75,000,000","$37,500,000","$58,500,000","$29,250,000",78.00%
Justin Jefferson,WR,Vikings,"$140,000,000","$35,000,000","$88,743,000","$22,185,750",63.40%
CeeDee Lamb,WR,Cowboys,"$136,000,000","$34,000,000","$67,000,000","$16,750,000",49.30%
Sam Darnold,QB,Seahawks,"$100,500,000","$33,500,000","$37,500,000","$12,500,000",37.30%
Baker Mayfield,QB,Buccaneers,"$100,000,000","$33,333,333","$40,000,000","$13,333,333",40.00%
D.K. Metcalf,WR,Steelers,"$131,999,529","$32,999,882","$60,000,471","$15,000,118",45.50%
Garrett Wilson,WR,Jets,"$130,000,000","$32,500,000","$38,324,819","$9,581,205",29.50%
A.J. Brown,WR,Eagles,"$96,000,000","$32,000,000","$51,000,000","$17,000,000",53.10%
Amon-Ra St. Brown,WR,Lions,"$120,010,000","$30,002,500","$34,666,000","$8,666,500",28.90%
Tyreek Hill,WR,Dolphins,"$90,000,000","$30,000,000","$54,000,000","$18,000,000",60.00%
Brandon Aiyuk,WR,49ers,"$120,000,000","$30,000,000","$45,000,000","$11,250,000",37.50%
Terry McLaurin,WR,Commanders,"$87,000,000","$29,000,000","$44,650,000","$14,883,333",51.30%
Tee Higgins,WR,Bengals,"$115,000,000","$28,750,000","$30,000,000","$7,500,000",26.10%
Rashawn Slater,LT,Chargers,"$114,000,000","$28,500,000","$56,000,000","$14,000,000",49.10%
Jaylen Waddle,WR,Dolphins,"$84,750,000","$28,250,000","$35,978,546","$11,992,849",42.50%
Tristan Wirfs,RT,Buccaneers,"$140,625,000","$28,125,000","$52,244,000","$10,448,800",37.20%
Penei Sewell,RT,Lions,"$112,000,000","$28,000,000","$42,986,236","$10,746,559",38.40%
Trent Williams,LT,49ers,"$82,660,000","$27,553,333","$26,900,000","$8,966,667",32.50%
D.J. Moore,WR,Bears,"$110,000,000","$27,500,000","$43,650,000","$10,912,500",39.70%
Jameson Williams,WR,Lions,"$80,000,000","$26,666,667","$30,579,154","$10,193,051",38.20%
Christian Darrisaw,LT,Vikings,"$104,000,000","$26,000,000","$43,725,000","$10,931,250",42.00%
Laremy Tunsil,LT,Commanders,"$75,000,000","$25,000,000","$50,000,000","$16,666,667",66.70%
Bernhard Raimann,LT,Colts,"$100,000,000","$25,000,000","$45,000,000","$11,250,000",45.00%
Lane Johnson,RT,Eagles,"$25,000,000","$25,000,000","$25,000,000","$25,000,000",100.00%
DeVonta Smith,WR,Eagles,"$75,000,000","$25,000,000","$33,997,554","$11,332,518",45.30%
Nico Collins,WR,Texans,"$72,750,000","$24,250,000","$32,116,000","$10,705,333",44.10%
Tyler Smith,LG,Cowboys,"$96,000,000","$24,000,000","$41,661,189","$10,415,297",43.40%
Deebo Samuel,WR,Commanders,"$71,550,000","$23,850,000","$41,000,000","$13,666,667",57.30%
Trey Smith,RG,Chiefs,"$94,000,000","$23,500,000","$46,750,000","$11,687,500",49.70%
Andrew Thomas,LT,Giants,"$117,500,000","$23,500,000","$67,000,000","$13,400,000",57.00%
"Michael Pittman, Jr.",WR,Colts,"$70,000,000","$23,333,333","$41,000,000","$13,666,667",58.60%
Courtland Sutton,WR,Broncos,"$92,000,000","$23,000,000","$40,000,000","$10,000,000",43.50%
Calvin Ridley,WR,Titans,"$92,000,000","$23,000,000","$46,980,000","$11,745,000",51.10%
Jake Matthews,LT,Falcons,"$45,000,000","$22,500,000","$38,000,000","$19,000,000",84.40%
Luke Goedeke,LG,Buccaneers,"$90,000,000","$22,500,000","$27,406,000","$6,851,500",30.50%
Taylor Moton,RT,Panthers,"$44,000,000","$22,000,000","$36,800,000","$18,400,000",83.60%
Davante Adams,WR,Rams,"$44,000,000","$22,000,000","$26,000,000","$13,000,000",59.10%
Jordan Mailata,LT,Eagles,"$66,000,000","$22,000,000","$41,000,000","$13,666,667",62.10%
Zach Tom,RT,Packers,"$88,000,000","$22,000,000","$30,200,000","$7,550,000",34.30%
Kolton Miller,LT,Raiders,"$66,000,000","$22,000,000","$36,500,000","$12,166,667",55.30%
Chris Godwin,WR,Buccaneers,"$66,000,000","$22,000,000","$44,000,000","$14,666,667",66.70%
Stefon Diggs,WR,Patriots,"$63,500,000","$21,166,667","$16,600,000","$5,533,333",26.10%
Landon Dickerson,LG,Eagles,"$84,000,000","$21,000,000","$28,890,000","$7,222,500",34.40%
Saquon Barkley,RB,Eagles,"$41,200,000","$20,600,000","$36,000,000","$18,000,000",87.40%
Garett Bolles,LT,Broncos,"$82,000,000","$20,500,000","$23,735,000","$5,933,750",28.90%
Chris Lindstrom,RG,Falcons,"$102,500,000","$20,500,000","$48,202,000","$9,640,400",47.00%
Dan Moore Jr.,LT,Titans,"$82,000,000","$20,500,000","$42,510,000","$10,627,500",51.80%
Mike Evans,WR,Buccaneers,"$41,000,000","$20,500,000","$29,000,000","$14,500,000",70.70%
Dion Dawkins,LT,Bills,"$60,060,000","$20,020,000","$30,205,000","$10,068,333",50.30%
Robert Hunt,RG,Panthers,"$100,000,000","$20,000,000","$44,000,000","$8,800,000",44.00%
Ronnie Stanley,LT,Ravens,"$60,000,000","$20,000,000","$44,000,000","$14,666,667",73.30%
Quenton Nelson,LG,Colts,"$80,000,000","$20,000,000","$41,000,000","$10,250,000",51.30%
Jawaan Taylor,RT,Chiefs,"$80,000,000","$20,000,000","$40,000,000","$10,000,000",50.00%
Justin Fields,QB,Jets,"$40,000,000","$20,000,000","$30,000,000","$15,000,000",75.00%
Taylor Decker,LT,Lions,"$60,000,000","$20,000,000","$31,830,000","$10,610,000",53.10%
Alaric Jackson,LT,Rams,"$57,750,000","$19,250,000","$30,000,000","$10,000,000",51.90%
Aaron Banks,LG,Packers,"$77,000,000","$19,250,000","$27,000,000","$6,750,000",35.10%
George Kittle,TE,49ers,"$76,400,000","$19,100,000","$35,000,000","$8,750,000",45.80%
Christian McCaffrey,RB,49ers,"$38,000,000","$19,000,000","$24,000,000","$12,000,000",63.20%
Michael Onwenu,RT,Patriots,"$57,000,000","$19,000,000","$36,500,000","$12,166,667",64.00%
Trey McBride,TE,Cardinals,"$76,000,000","$19,000,000","$32,500,000","$8,125,000",42.80%
Tytus Howard,RT,Texans,"$56,000,000","$18,666,667","$36,002,000","$12,000,667",64.30%
Samuel Cosmi,RG,Commanders,"$74,000,000","$18,500,000","$26,616,000","$6,654,000",36.00%
Brian O'Neill,RT,Vikings,"$92,500,000","$18,500,000","$22,576,118","$4,515,224",24.40%
Creed Humphrey,C,Chiefs,"$72,000,000","$18,000,000","$35,000,000","$8,750,000",48.60%
Spencer Brown,RT,Bills,"$72,000,000","$18,000,000","$19,855,000","$4,963,750",27.60%
Quinn Meinerz,RG,Broncos,"$72,000,000","$18,000,000","$24,000,000","$6,000,000",33.30%
Christian Kirk,WR,Texans,"$72,000,000","$18,000,000","$37,000,000","$9,250,000",51.40%
Will Fries,RG,Vikings,"$87,720,000","$17,544,000","$34,000,000","$6,800,000",38.80%
Joe Thuney,LG,Bears,"$35,000,000","$17,500,000","$33,500,000","$16,750,000",95.70%
Jerry Jeudy,WR,Browns,"$52,500,000","$17,500,000","$41,000,000","$13,666,667",78.10%
Mike McGlinchey,RT,Broncos,"$87,500,000","$17,500,000","$35,000,000","$7,000,000",40.00%
Travis Kelce,TE,Chiefs,"$34,250,000","$17,125,000","$17,000,000","$8,500,000",49.60%
Cam Jurgens,C,Eagles,"$68,000,000","$17,000,000","$23,346,000","$5,836,500",34.30%
Elgton Jenkins,LG,Packers,"$68,000,000","$17,000,000","$24,000,000","$6,000,000",35.30%
Terence Steele,RT,Cowboys,"$82,500,000","$16,500,000","$23,554,000","$4,710,800",28.60%
T.J. Hockenson,TE,Vikings,"$66,000,000","$16,500,000","$29,292,000","$7,323,000",44.40%
Orlando Brown Jr.,LT,Bengals,"$64,092,000","$16,023,000","$31,100,000","$7,775,000",48.50%
Kevin Dotson,RG,Rams,"$48,000,000","$16,000,000","$24,000,000","$8,000,000",50.00%
Joel Bitonio,LG,Browns,"$48,000,000","$16,000,000","$14,602,942","$4,867,647",30.40%
Abraham Lucas,RT,Seahawks,"$46,000,000","$15,333,333","$12,790,000","$4,263,333",27.80%
Jonah Williams,LT,Cardinals,"$30,000,000","$15,000,000","$19,000,000","$9,500,000",63.30%
Jaylon Moore,LT,Chiefs,"$30,000,000","$15,000,000","$21,240,000","$10,620,000",70.80%
Colton McKivitz,LT,49ers,"$45,000,000","$15,000,000","$18,710,000","$6,236,667",41.60%
Kaleb McGary,RT,Falcons,"$30,000,000","$15,000,000","$28,480,000","$14,240,000",94.90%
Cooper Kupp,WR,Seahawks,"$45,000,000","$15,000,000","$17,500,000","$5,833,333",38.90%
Derrick Henry,RB,Ravens,"$30,000,000","$15,000,000","$25,000,000","$12,500,000",83.30%
Jonah Jackson,RG,Bears,"$44,500,000","$14,833,333","$24,500,000","$8,166,667",55.10%
Wyatt Teller,RG,Browns,"$56,800,000","$14,200,000","$16,591,500","$4,147,875",29.20%
Daniel Jones,QB,Colts,"$14,000,000","$14,000,000","$13,150,000","$13,150,000",93.90%
Jonathan Taylor,RB,Colts,"$42,000,000","$14,000,000","$19,347,556","$6,449,185",46.10%
Drew Dalman,C,Bears,"$42,000,000","$14,000,000","$26,500,000","$8,833,333",63.10%
David Njoku,TE,Browns,"$54,750,000","$13,687,500","$17,000,000","$4,250,000",31.10%
Aaron Rodgers,QB,Steelers,"$13,650,000","$13,650,000","$10,000,000","$10,000,000",73.30%
Walker Little,LT,Jaguars,"$40,500,000","$13,500,000","$25,944,256","$8,648,085",64.10%
Damien Lewis,LG,Panthers,"$53,000,000","$13,250,000","$26,215,000","$6,553,750",49.50%
Khalil Shakir,WR,Bills,"$53,000,000","$13,250,000","$18,100,000","$4,525,000",34.20%
Mark Andrews,TE,Ravens,"$39,267,000","$13,089,000","$20,944,444","$6,981,481",53.30%
Ben Powers,LG,Broncos,"$52,000,000","$13,000,000","$27,000,000","$6,750,000",51.90%
Darnell Mooney,WR,Falcons,"$39,000,000","$13,000,000","$26,000,000","$8,666,667",66.70%
Cole Kmet,TE,Bears,"$50,000,000","$12,500,000","$22,893,000","$5,723,250",45.80%
Lloyd Cushenberry,C,Titans,"$50,000,000","$12,500,000","$26,000,000","$6,500,000",52.00%
Patrick Mekari,RG,Jaguars,"$37,500,000","$12,500,000","$20,000,000","$6,666,667",53.30%
Jake Ferguson,TE,Cowboys,"$50,000,000","$12,500,000","$20,656,000","$5,164,000",41.30%
Rashod Bateman,WR,Ravens,"$36,750,000","$12,250,000","$16,500,000","$5,500,000",44.90%
Alvin Kamara,RB,Saints,"$24,500,000","$12,250,000","$19,233,333","$9,616,667",78.50%
