Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Philadelphia Eagles*,11,5,0,0.688,362,301,61,3.8,-0.1,3.7,-1.7,5.4
Dallas Cowboys,7,8,1,0.469,454,477,-23,-1.4,-1.8,-3.3,5.1,-8.3
Washington Commanders,4,12,0,0.25,332,434,-102,-6.4,-0.4,-6.7,-3,-3.7
New York Giants,3,13,0,0.188,347,422,-75,-4.7,0.1,-4.6,-1.1,-3.5
Chicago Bears*,11,5,0,0.688,425,396,29,1.8,-1.4,0.5,3,-2.5
Green Bay Packers+,9,6,1,0.594,388,344,44,2.8,-1.2,1.6,-0.2,1.8
Minnesota Vikings,8,8,0,0.5,328,330,-2,-0.1,0.2,0,-3.6,3.6
Detroit Lions,8,8,0,0.5,462,397,65,4.1,-0.2,3.8,5.6,-1.8
Carolina Panthers*,8,8,0,0.5,297,364,-67,-4.2,0.5,-3.7,-4.9,1.2
Tampa Bay Buccaneers,7,9,0,0.438,364,397,-33,-2.1,1.1,-0.9,0.5,-1.4
Atlanta Falcons,7,9,0,0.438,334,384,-50,-3.1,0.4,-2.8,-2.2,-0.6
New Orleans Saints,6,10,0,0.375,289,364,-75,-4.7,-0.3,-5,-5.8,0.8
Seattle Seahawks*,13,3,0,0.813,470,289,181,11.3,1.1,12.4,6.9,5.5
San Francisco 49ers+,12,4,0,0.75,434,358,76,4.8,1.4,6.1,4.7,1.5
Los Angeles Rams+,11,5,0,0.688,481,326,155,9.7,2.9,12.6,8.3,4.3
Arizona Cardinals,3,13,0,0.188,335,451,-116,-7.3,2.8,-4.4,-1.5,-3
