Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1,Dak Prescott,32,DAL,QB,14,14,6-7-2001,*357*,*522*,68.4,*3931*,26,5,10,1.9,190,48.4,74,7.5,7.66,11,*280.8*,99.1,72.8,24,164,4.4,6.9,7.03,4,3,
2,Matthew Stafford,37,LAR,QB,14,14,11-3-2000,312,470,66.4,3722,*37*,*7.9*,5,1.1,*193*,55.4,*88*,7.9,9.01,11.9,265.9,*112.2*,69.7,19,122,3.89,7.36,*8.42*,1,1,
3,Jared Goff,31,DET,QB,14,14,8-6-2000,314,453,69.3,3672,29,6.4,5,1.1,175,49.5,64,8.1,8.89,11.7,262.3,110.4,60.6,28,192,5.82,7.23,7.97,1,2,
4,Patrick Mahomes,30,KAN,QB,14,14,6-8-2000,315,502,62.7,3587,22,4.4,11,2.2,173,47.9,61,7.1,7.04,11.4,256.2,89.6,69.1,34,193,6.34,6.33,6.23,1,1,
5,Drake Maye,23,NWE,QB,14,14,11-3-2000,290,409,*70.9*,3567,23,5.6,7,1.7,164,52.2,72,8.7,*9.08*,12.3,254.8,109.1,71.2,43,194,9.51,7.46,7.78,0,1,
6,Sam Darnold,28,SEA,QB,14,14,11-3-2000,263,390,67.4,3433,22,5.6,11,2.8,148,51.7,67,*8.8*,8.66,*13.1*,245.2,102,62.5,18,121,4.41,*8.12*,7.98,1,3,
7,Jordan Love,27,GNB,QB,14,14,9-4-2001,283,426,66.4,3304,23,5.4,6,1.4,155,50.1,59,7.8,8.2,11.7,236,101.9,*73.8*,21,169,4.7,7.01,7.44,4,4,
8,Josh Allen,29,BUF,QB,14,14,10-4-2000,284,406,70,3276,25,6.2,10,2.5,160,49.7,54,8.1,8.19,11.5,234,104.3,66.4,33,212,7.52,6.98,7.09,4,4,
9,Bo Nix,25,DEN,QB,14,14,12-2-2000,320,504,63.5,3256,23,4.6,9,1.8,164,46.2,52,6.5,6.57,10.2,232.6,89.7,59.1,16,87,3.08,6.09,6.2,*5*,*6*,
10,Trevor Lawrence,26,JAX,QB,14,14,10-4-2000,273,457,59.7,3210,23,5,11,2.4,155,44.4,50,7,6.95,11.8,229.3,87.9,51.8,32,203,6.54,6.15,6.08,3,4,
11,Justin Herbert,27,LAC,QB,14,14,10-4-2000,296,451,65.6,3191,23,5.1,12,2.7,149,47,60,7.1,6.9,10.8,227.9,92.2,58.2,*49*,266,9.8,5.85,5.69,3,3,
12,Caleb Williams,24,CHI,QB,14,14,10-4-2000,266,459,58,3150,21,4.6,6,1.3,151,41.9,65,6.9,7.19,11.8,225,88.8,54.4,23,158,4.77,6.21,6.52,*5*,5,
13,Daniel Jones,28,IND,QB,13,13,8-5-2000,261,384,68,3101,19,4.9,8,2.1,149,*52.0*,75,8.1,8.13,11.9,238.5,100.2,63.8,22,158,5.42,7.25,7.3,3,3,
14,Baker Mayfield,30,TAM,QB,14,14,7-7-2000,276,451,61.2,2999,22,4.9,7,1.6,137,40.6,77,6.6,6.93,10.9,214.2,90.6,59,29,192,6.04,5.85,6.11,4,4,
15,Jalen Hurts,27,PHI,QB,14,14,9-5-2000,259,397,65.2,2929,22,5.5,6,1.5,133,43.4,79,7.4,7.81,11.3,209.2,99.4,54.6,29,172,6.81,6.47,6.87,1,1,
16,Jacoby Brissett,33,ARI,QB,11,9,1-8-2000,256,386,66.3,2708,18,4.7,6,1.6,135,47.5,50,7,7.25,10.6,246.2,95.6,44.3,31,219,7.43,5.97,6.18,0,0,
17,Tua Tagovailoa,27,MIA,QB,14,14,6-8-2000,260,384,67.7,2660,20,5.2,*15*,3.9,142,46.4,47,6.9,6.21,10.2,190,88.5,36.7,30,195,7.25,5.95,5.29,1,1,
18,Geno Smith,35,LVR,QB,13,13,2-11-2000,266,397,67,2648,16,4,14,3.5,132,45.7,61,6.7,5.89,10,203.7,84.5,32.4,*49*,350,10.99,5.15,4.46,0,0,
19,Cam Ward,23,TEN,QB,14,14,2-12-2000,278,469,59.3,2638,11,2.3,7,1.5,128,37.6,47,5.6,5.42,9.5,188.4,76.5,31.2,*49*,*371*,9.46,4.38,4.19,1,1,
20,Aaron Rodgers,42,PIT,QB,13,13,8-5-2000,248,371,66.8,2594,22,5.9,7,1.9,106,43.7,80,7,7.33,10.5,199.5,98.8,43.3,23,153,5.84,6.2,6.51,1,2,
21,Bryce Young,24,CAR,QB,13,13,7-6-2000,245,387,63.3,2500,19,4.9,9,2.3,128,44.6,54,6.5,6.4,10.2,192.3,88.4,47.6,23,171,5.61,5.68,5.62,4,5,
22,Joe Flacco,40,2TM,QB,10,10,2-8-2000,247,410,60.2,2451,15,3.7,10,2.4,114,41.8,44,6,5.61,9.9,245.1,79.2,,18,118,4.21,5.45,5.1,2,2,
22,Joe Flacco,40,CLE,QB,4,4,1-3-2000,93,160,58.1,815,2,1.3,6,3.8,35,34.9,35,5.1,3.66,8.8,203.8,60.3,,9,54,5.33,4.5,3.14,1,1,
22,Joe Flacco,40,CIN,QB,6,6,1-5-2000,154,250,61.6,1636,13,5.2,4,1.6,79,46.3,44,6.5,6.86,10.6,272.7,91.3,,9,64,3.47,6.07,6.38,1,1,
23,C.J. Stroud,24,HOU,QB,11,11,6-5-2000,220,337,65.3,2441,15,4.5,6,1.8,111,45,57,7.2,7.33,11.1,221.9,94.1,62.5,23,189,6.39,6.26,6.34,0,2,
24,Lamar Jackson,28,BAL,QB,11,11,6-5-2000,174,274,63.5,2210,18,6.6,6,2.2,97,45.6,45,8.1,8.39,12.7,200.9,101.4,60.1,33,223,10.75,6.47,6.77,1,1,
25,Mac Jones,27,SFO,QB,10,8,5-3-2000,201,289,69.6,2151,13,4.5,6,2.1,107,53.4,56,7.4,7.41,10.7,215.1,97.4,63.2,16,108,5.25,6.7,6.67,1,2,
26,Michael Penix,25,ATL,QB,9,9,3-6-2000,166,276,60.1,1982,9,3.3,3,1.1,99,46.4,69,7.2,7.34,11.9,220.2,88.5,56.7,13,101,4.5,6.51,6.66,0,0,
27,Jaxson Dart,22,NYG,QB,11,9,2-7-2000,165,264,62.5,1802,13,4.9,4,1.5,78,41.7,44,6.8,7.13,10.9,163.8,92.7,61.8,24,102,8.33,5.9,6.18,0,0,
28,Marcus Mariota,32,WAS,QB,10,7,2-5-2000,132,213,62,1600,10,4.7,7,3.3,74,44.3,56,7.5,6.97,12.1,160,87,51.8,15,105,6.58,6.56,6.05,0,0,
29,Spencer Rattler,25,NOR,QB,9,8,1-7-2000,174,257,67.7,1586,8,3.1,5,1.9,74,43.3,87,6.2,5.92,9.1,176.2,86.5,50.3,18,104,6.55,5.39,5.15,0,0,
30,Tyler Shough,26,NOR,QB,8,6,3-3-2000,144,216,66.7,1484,6,2.8,5,2.3,70,45,62,6.9,6.38,10.3,185.5,85.9,46.3,22,137,9.24,5.66,5.22,1,2,
31,Brock Purdy,26,SFO,QB,6,6,5-1-2000,129,190,67.9,1442,12,6.3,7,3.7,85,55.1,45,7.6,7.19,11.2,240.3,96,72.9,6,39,*3.06*,7.16,6.78,1,1,
32,J.J. McCarthy,22,MIN,QB,8,8,4-4-2000,117,206,56.8,1342,11,5.3,11,5.3,66,40.4,62,6.5,5.18,11.5,167.8,72.1,34.7,24,124,10.43,5.3,4.1,1,1,
33,Jayden Daniels,25,WAS,QB,7,7,2-5-2000,114,188,60.6,1262,8,4.3,3,1.6,59,44.7,50,6.7,6.85,11.1,180.3,88.1,45.9,18,79,8.74,5.74,5.86,0,0,
34,Justin Fields,26,NYJ,QB,9,9,2-7-2000,128,204,62.7,1259,7,3.4,1,*0.5*,58,42,42,6.2,6.64,9.8,139.9,89.5,37.7,27,192,11.69,4.62,5.03,1,2,
35,Kirk Cousins,37,ATL,QB,7,5,2-3-2000,114,182,62.6,1218,6,3.3,3,1.6,55,45.3,49,6.7,6.61,10.7,174,86.3,40.8,8,51,4.21,6.14,6.06,1,1,
36,Carson Wentz,33,MIN,QB,5,5,2-3-2000,110,169,65.1,1216,6,3.6,5,3,58,45.2,81,7.2,6.57,11.1,243.2,85.8,44,19,125,10.11,5.8,5.24,1,1,
37,Kyler Murray,28,ARI,QB,5,5,2-3-2000,110,161,68.3,962,6,3.7,3,1.9,50,44.1,45,6,5.88,8.7,192.4,88.6,46.3,16,111,9.04,4.81,4.72,0,0,
38,Joe Burrow,29,CIN,QB,5,5,3-2-2000,95,157,60.5,959,8,5.1,4,2.5,52,46.1,43,6.1,5.98,10.1,191.8,84.3,56.5,10,68,5.99,5.34,5.22,0,0,
39,Shedeur Sanders,23,CLE,QB,5,4,1-3-2000,72,138,52.2,946,5,3.6,6,4.3,33,33.8,66,6.9,5.62,13.1,189.2,68.1,16.9,13,112,8.61,5.52,4.4,0,0,
40,Dillon Gabriel,25,CLE,QB,9,6,1-5-2000,110,185,59.5,937,7,3.8,2,1.1,45,33,26,5.1,5.34,8.5,104.1,80.8,31.2,18,125,8.87,4,4.25,0,0,
41,Davis Mills,27,HOU,QB,5,3,3-0-0,88,150,58.7,879,5,3.3,1,0.7,46,40.5,54,5.9,6.23,10,175.8,83.7,45.2,8,60,5.06,5.18,5.53,1,2,
42,Russell Wilson,37,NYG,QB,6,3,0-3-0,69,119,58,831,3,2.5,3,2.5,32,38,52,7,6.35,12,138.5,77.4,26.4,10,66,7.75,5.93,5.35,0,0,
43,Tyrod Taylor,36,NYJ,QB,6,4,1-3-2000,80,134,59.7,779,5,3.7,5,3.7,41,41.9,52,5.8,4.88,9.7,129.8,72.9,51.8,14,82,9.46,4.71,3.86,1,1,
44,Jake Browning,29,CIN,QB,5,3,0-3-0,81,125,64.8,771,6,4.8,8,6.4,33,38.8,64,6.2,4.25,9.5,154.2,71.1,33.8,9,60,6.72,5.31,3.51,1,1,
45,Jameis Winston,31,NYG,QB,3,2,0-2-0,37,66,56.1,567,2,3,2,3,25,46.4,42,8.6,7.83,15.3,189,82.1,68.8,3,11,4.35,8.06,7.33,0,0,
46,Brady Cook,24,NYJ,QB,2,1,0-1-0,36,63,57.1,339,1,1.6,5,7.9,19,37.5,25,5.4,2.13,9.4,169.5,44.3,19.1,9,49,12.5,4.03,1.18,0,0,
47,Mason Rudolph,30,PIT,QB,5,1,0-1-0,38,52,73.1,310,2,3.8,2,3.8,17,50,28,6,5,8.2,62,84.6,36.7,2,12,3.7,5.52,4.59,0,0,
