,,,,,,,Receiving,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1,Trey McBride,26,ARI,TE,14,14,140,*105*,1071,57,573,5.5,498,4.7,6.9,9,11.7,1,0.7,0,120.3,
2,Puka Nacua,24,LAR,WR,13,12,129,102,1367,*66*,880,8.6,487,4.8,9.6,8,12.8,3,2.3,1,123.1,
3,Ja'Marr Chase,25,CIN,WR,13,13,*155*,101,1147,56,630,6.2,517,5.1,8.7,5,20.2,4,2.6,5,84.5,
4,Jaxon Smith-Njigba,23,SEA,WR,14,14,130,96,*1541*,*66*,1087,11.3,454,4.7,11.7,3,32,4,3.1,3,126.5,
5,Amon-Ra St. Brown,26,DET,WR,14,14,135,94,1140,56,677,7.2,463,4.9,8.1,3,31.3,8,5.9,3,113.2,
6,Christian McCaffrey,29,SFO,RB,14,14,108,86,820,42,166,1.9,654,7.6,2.3,10,8.6,7,6.5,2,106,
7,Chris Olave,25,NOR,WR,14,14,129,82,896,41,696,8.5,200,2.4,11.4,2,41,5,3.9,4,86.6,
8,George Pickens,24,DAL,WR,14,12,120,81,1212,64,813,10,399,4.9,11.5,4,20.3,4,3.3,3,112.2,
9,Wan'Dale Robinson,24,NYG,WR,14,13,120,78,882,34,539,6.9,343,4.4,8.7,4,19.5,4,3.3,2,91,
10,Jake Ferguson,26,DAL,TE,14,7,94,77,570,27,269,3.5,301,3.9,4.7,6,12.8,2,2.1,1,112.3,
11,Kyle Pitts,25,ATL,TE,14,14,97,73,797,39,441,6,356,4.9,7.5,1,73,2,2.1,2,104.2,
12,Michael Pittman Jr.,28,IND,WR,14,13,99,72,725,44,480,6.7,245,3.4,8,3,24,5,5.1,5,95.7,
13,Zay Flowers,25,BAL,WR,14,14,100,71,959,38,587,8.3,372,5.2,10.1,9,7.9,7,7,2,99.5,
14,Dalton Schultz,29,HOU,TE,14,4,93,70,650,34,356,5.1,294,4.2,6.4,2,35,2,2.2,0,101.1,
15,Keenan Allen,33,LAC,WR,14,3,101,68,680,42,493,7.3,187,2.8,8.4,3,22.7,5,5,2,91.2,
16,Stefon Diggs,32,NWE,WR,14,14,83,67,731,38,483,7.2,248,3.7,8.3,1,67,3,3.6,2,105.4,
17,Travis Kelce,36,KAN,TE,14,14,92,67,797,42,388,5.8,409,6.1,6.8,1,67,7,7.6,4,98.9,
18,Harold Fannin,21,CLE,TE,14,11,99,66,667,29,337,5.1,330,5,6,6,11,4,4,2,90.8,
19,Justin Jefferson,26,MIN,WR,14,14,117,66,832,37,483,7.3,349,5.3,11,4,16.5,2,1.7,10,48.8,
20,DeVonta Smith,27,PHI,WR,14,13,96,66,889,37,630,9.5,259,3.9,11.9,0,,2,2.1,1,104,
21,Michael Wilson,25,ARI,WR,14,10,105,66,766,41,577,8.7,189,2.9,11.4,3,22,1,1,3,85.7,
22,Deebo Samuel,29,WAS,WR,13,9,86,65,604,27,249,3.8,355,5.5,5.3,4,16.3,6,7,2,104,
23,A.J. Brown,28,PHI,WR,13,13,102,64,840,38,626,9.8,214,3.3,12.1,5,12.8,1,1,3,99.3,
24,Nico Collins,26,HOU,WR,13,13,107,64,1001,42,698,10.9,303,4.7,12.3,3,21.3,1,0.9,1,105.7,
25,Bijan Robinson,23,ATL,RB,14,14,81,64,684,28,4,0.1,680,10.6,1.3,8,8,3,3.7,1,104.9,
26,CeeDee Lamb,26,DAL,WR,11,10,99,63,976,37,674,10.7,302,4.8,11.7,5,12.6,7,7.1,3,93.7,
