Player Name,Season,Team,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per Carry,Yards After Contact,Avg. Box Defenders,Success %,TFL %,Explosive %,First Down %,Receptions,Rec. Yards,Rec. TDs,YAC,Target Share
1. James Cook,2025,,RB,309,0.02,5.58,"1,621",12,5.25,"1,016",7.7,45.63%,4.53%,8.74%,22.01%,33,291,2,272,8.35%
2. Derrick Henry,2025,,RB,307,0.03,9.17,"1,595",16,5.2,"1,080",7.87,41.69%,7.17%,9.77%,26.38%,15,150,0,135,5.15%
3. Jonathan Taylor,2025,,RB,323,0.05,17.72,"1,585",18,4.91,"1,163",7.19,44.27%,8.67%,8.05%,26.63%,46,378,2,434,10.38%
4. Bijan Robinson,2025,,RB,287,-0.05,-13.31,"1,478",7,5.15,"1,118",7.11,41.11%,9.06%,8.36%,22.30%,79,820,4,857,19.85%
5. Devon Achane,2025,,RB,238,0.06,14.04,"1,350",8,5.67,928,7.16,38.24%,9.66%,13.45%,23.95%,67,488,4,552,19.41%
6. Kyren Williams,2025,,RB,259,0.02,4.93,"1,252",10,4.83,799,7.32,50.19%,4.63%,6.95%,29.34%,36,281,3,155,8.61%
7. Jahmyr Gibbs,2025,,RB,243,-0.01,-2.67,"1,223",13,5.03,739,7.24,39.92%,11.11%,8.64%,23.05%,77,616,5,615,17.12%
8. Christian McCaffrey,2025,,RB,311,-0.07,-21.05,"1,202",10,3.86,849,7.34,39.23%,9.65%,6.43%,22.51%,102,924,7,720,23.41%
9. Javonte Williams,2025,,RB,252,0.05,12.21,"1,201",11,4.77,830,7.1,45.63%,5.16%,6.75%,26.98%,35,137,2,206,8.73%
10. Saquon Barkley,2025,,RB,280,-0.09,-25.15,"1,140",7,4.07,733,7.4,37.50%,14.64%,7.14%,17.86%,37,273,2,296,10.78%
11. Travis Etienne,2025,,RB,260,-0.07,-18.98,"1,107",7,4.26,782,7.18,35.77%,10%,5.77%,18.46%,36,292,6,339,9.51%
12. D'Andre Swift,2025,,RB,223,0.07,15.45,"1,087",9,4.87,654,7.17,47.98%,6.28%,8.52%,27.80%,34,299,1,357,9.66%
13. Tony Pollard,2025,,RB,242,-0.09,-21.69,"1,082",5,4.47,752,7.21,39.26%,7.44%,4.96%,19.83%,33,206,0,203,7.74%
14. Rico Dowdle,2025,,RB,236,-0.01,-1.36,"1,076",6,4.56,707,7.31,42.37%,6.36%,8.47%,25.42%,39,297,1,350,10.42%
15. Breece Hall,2025,,RB,243,-0.09,-22.27,"1,065",4,4.38,733,7.19,40.74%,13.58%,8.64%,24.28%,36,350,1,321,10.67%
16. Kenneth Walker,2025,,RB,221,-0.06,-14.29,"1,027",5,4.65,708,7.41,38.01%,11.76%,9.95%,20.81%,31,282,0,339,7.91%
17. Chase Brown,2025,,RB,232,-0.01,-3.29,"1,019",6,4.39,654,6.99,40.09%,6.90%,8.19%,23.28%,69,437,5,450,14.47%
18. Ashton Jeanty,2025,,RB,266,-0.24,-64.23,975,5,3.67,830,7.26,31.95%,16.92%,6.02%,16.92%,55,346,5,452,14.78%
19. Jaylen Warren,2025,,RB,211,0,-0.5,958,6,4.54,657,7.55,42.65%,8.06%,7.58%,28.44%,40,333,2,429,9.02%
20. Josh Jacobs,2025,,RB,234,-0.06,-14.84,929,13,3.97,697,7.21,43.59%,8.12%,5.98%,23.50%,36,282,1,304,10.26%
21. TreVeyon Henderson,2025,,RB,180,0.05,8.43,911,9,5.06,528,7.59,41.67%,10.56%,8.89%,31.11%,35,221,1,244,8.71%
22. Quinshon Judkins,2025,,RB,230,-0.11,-26.16,827,7,3.6,651,7.76,33.04%,10.43%,5.65%,22.61%,26,171,0,194,8.26%
