Player,Pos,Team,APY,GS,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,IAY/PA,Bad%,Prss%,OnTgt%,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,SoS,Composite_Z,Final_Grade,Salary_Cluster,Contract_Tier,Market Value,APYM,Value Diff
Drake Maye,QB,NE,9159941,17.0,14,492.0,6.3,1.6,54.7,258.5,113.5,77.2,8.72,8.26,9.1,13.5,21.0,75.7,0.26,159.8,10.16,9.51,2.81,-4.5,1.3844731310847296,100.0,0,Rookie/Cheap,65.0,9.159941,55.84
Jordan Love,QB,GB,55000000,15.0,9,439.0,5.2,1.4,50.2,225.4,101.2,73.1,4.57,7.4,8.7,14.6,22.1,77.4,0.24,108.51,12.34,9.42,2.72,-0.8,1.177605946684295,93.37,1,Franchise/Elite,61.91,55.0,6.91
Matthew Stafford,QB,LAR,40000000,17.0,12,597.0,7.7,1.3,54.4,276.9,109.2,71.0,3.71,8.25,9.0,17.5,17.2,68.0,0.17,140.93,-31.84,9.34,2.64,2.4,1.1117861854674616,91.26,2,Bridge/Mid,60.92,40.0,20.92
Brock Purdy,QB,SF,53000000,9.0,7,284.0,7.0,3.5,55.3,240.8,100.5,73.1,3.73,7.0,7.5,10.8,19.5,73.6,0.23,58.79,16.19,7.9,3.01,2.1,1.0696462541167846,89.91,1,Franchise/Elite,60.29,53.0,7.29
Daniel Jones,QB,IND,14000000,13.0,8,384.0,4.9,2.1,52.0,238.5,100.2,63.7,5.42,7.3,8.0,12.1,20.3,78.0,0.17,60.23,16.18,8.24,2.55,1.8,1.0190037428105971,88.29,0,Rookie/Cheap,59.54,14.0,45.54
Josh Allen,QB,BUF,55000000,17.0,12,460.0,5.4,2.2,48.2,215.8,102.2,64.7,8.0,6.84,7.3,13.0,18.0,79.9,0.17,65.66,38.77,7.55,2.74,-2.3,0.7195280520689398,78.7,1,Franchise/Elite,55.48,55.0,0.48
Dak Prescott,QB,DAL,60000000,17.0,7,600.0,5.0,1.7,48.2,267.8,99.5,70.6,4.91,7.12,8.0,12.3,21.0,73.6,0.14,103.52,-9.43,8.23,2.67,-1.8,0.6821151383539543,77.5,1,Franchise/Elite,55.0,60.0,-5.0
Sam Darnold,QB,SEA,33500000,17.0,14,477.0,5.2,2.9,50.0,238.1,99.1,56.6,5.36,7.4,7.8,14.0,20.5,74.7,0.09,60.74,-12.97,8.3,2.71,1.6,0.5951468636391525,74.71,2,Bridge/Mid,53.88,33.5,20.38
Jared Goff,QB,DET,53000000,17.0,9,578.0,5.9,1.4,48.7,268.5,105.5,58.0,6.17,7.51,6.4,14.9,22.7,71.5,0.14,106.46,-14.42,6.82,2.54,-0.1,0.5389861982221837,72.91,1,Franchise/Elite,53.16,53.0,0.16
Patrick Mahomes,QB,KC,45000000,14.0,6,502.0,4.4,2.2,47.9,256.2,89.6,68.8,6.34,6.23,7.9,17.9,24.0,74.3,0.16,67.09,29.16,8.56,2.66,-0.1,0.531946165943234,72.69,2,Bridge/Mid,53.08,45.0,8.08
Mac Jones,QB,SF,3500000,8.0,5,289.0,4.5,2.1,53.4,195.5,97.4,63.5,5.25,6.67,7.3,14.0,17.9,79.1,0.1,38.13,-5.27,7.64,2.58,2.1,0.5204308401310369,72.32,0,Rookie/Cheap,52.93,3.5,49.43
Trevor Lawrence,QB,JAX,55000000,17.0,13,560.0,5.2,2.1,45.8,235.7,91.0,58.3,6.82,6.32,8.7,13.6,20.5,69.5,0.09,34.88,25.79,8.96,2.68,0.6,0.510210834025431,71.99,1,Franchise/Elite,52.8,55.0,-2.2
Lamar Jackson,QB,BAL,52000000,13.0,6,302.0,7.0,2.3,46.2,196.1,103.8,62.8,10.65,7.14,8.8,17.2,22.6,68.0,0.07,6.43,20.61,9.13,2.89,-0.4,0.5001778993962407,71.67,1,Franchise/Elite,52.67,52.0,0.67
Jalen Hurts,QB,PHI,51000000,16.0,11,454.0,5.5,1.3,43.2,201.5,98.5,55.9,6.58,6.73,9.0,16.7,20.0,74.0,0.07,27.26,16.68,9.54,2.8,-0.4,0.4982577622031549,71.61,1,Franchise/Elite,52.64,51.0,1.64
Joe Burrow,QB,CIN,55000000,8.0,5,259.0,6.6,1.9,51.8,226.1,100.7,63.2,6.16,6.56,7.2,10.0,20.3,63.1,0.11,29.46,3.57,7.53,2.67,-0.5,0.416129054531323,68.98,1,Franchise/Elite,50.98,55.0,-4.02
